edicion,fecha_inicio,fecha_fin
Primera edición,2021-09-11,2021-09-12
Segunda edición,2021-09-18,2021-08-19
Tercera edición,2021-09-25,2021-09-26
Cuarta edición,2021-10-02,2021-10-03
Quinta edición,2021-10-09,2021-10-10
Sexta edición,2021-10-16,2021-10-17
Séptima edición,2021-10-23,2021-10-24
Octava edición,2021-10-30,2021-10-31
Novena edición,2021-11-06,2021-11-07
Décima edición,2021-11-13,2021-11-14
Undécima edición,2021-11-20,2021-11-21
Duodécima edición,2021-11-27,2021-11-28
Décimo tercera edición,2021-12-04,2021-12-05
Décimo cuarta edición,2021-12-11,2021-12-12
Décimo quinta edición,2021-12-18,2021-12-19
Décimo sexta edición,2021-12-25,2021-12-26
Décimo séptima edición,2021-12-31,2022-01-01
