fecha_corte,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,rango_edad,dosis,n,n_acum,pob2022,pct_acum
2022-08-03,2021,6,2021-02-13,1,15-19,1,29,29,2882989,1.0059004734322607e-5
2022-08-03,2021,6,2021-02-13,1,20-24,1,1573,1573,2739799,5.741297080552259e-4
2022-08-03,2021,6,2021-02-13,1,25-29,1,11533,11533,2944222,0.003917163855171248
2022-08-03,2021,6,2021-02-13,1,30-34,1,19979,19979,2745768,0.007276288455543222
2022-08-03,2021,6,2021-02-13,1,35-39,1,18338,18338,2547015,0.007199800550840886
2022-08-03,2021,6,2021-02-13,1,40-44,1,14818,14818,2347974,0.006310972779085288
2022-08-03,2021,6,2021-02-13,1,45-49,1,13254,13254,2131029,0.006219530564811647
2022-08-03,2021,6,2021-02-13,1,50-54,1,10118,10118,1827729,0.005535831624929079
2022-08-03,2021,6,2021-02-13,1,55-59,1,8672,8672,1582478,0.005480012992281725
2022-08-03,2021,6,2021-02-13,1,60-64,1,6111,6111,1293631,0.004723912769561026
2022-08-03,2021,6,2021-02-13,1,65-69,1,1212,1212,1039990,0.0011653958211136645
2022-08-03,2021,6,2021-02-13,1,70-74,1,58,58,766947,7.562452164230384e-5
2022-08-03,2021,6,2021-02-13,1,75-79,1,17,17,560299,3.0340942960811994e-5
2022-08-03,2021,6,2021-02-13,1,80+,1,10,10,719349,1.390145812394262e-5
2022-08-03,2021,6,2021-02-13,1,Desconocido,1,14,14,NA,NA
2022-08-03,2021,7,2021-02-20,1,10-14,1,2,2,3024291,6.613120232146972e-7
2022-08-03,2021,7,2021-02-20,1,15-19,1,148,177,2882989,6.139461510258971e-5
2022-08-03,2021,7,2021-02-20,1,20-24,1,4093,5666,2739799,0.002068034917889962
2022-08-03,2021,7,2021-02-20,1,25-29,1,11975,23508,2944222,0.007984452259374462
2022-08-03,2021,7,2021-02-20,1,30-34,1,14969,34948,2745768,0.012727950795551553
2022-08-03,2021,7,2021-02-20,1,35-39,1,13517,31855,2547015,0.012506797172376292
2022-08-03,2021,7,2021-02-20,1,40-44,1,11447,26265,2347974,0.01118623971134263
2022-08-03,2021,7,2021-02-20,1,45-49,1,10502,23756,2131029,0.011147666221341897
2022-08-03,2021,7,2021-02-20,1,50-54,1,8309,18427,1827729,0.010081910392623851
2022-08-03,2021,7,2021-02-20,1,55-59,1,7091,15763,1582478,0.009960959962792532
2022-08-03,2021,7,2021-02-20,1,60-64,1,5899,12010,1293631,0.009283945731046952
2022-08-03,2021,7,2021-02-20,1,65-69,1,4158,5370,1039990,0.0051635111876075735
2022-08-03,2021,7,2021-02-20,1,70-74,1,124,182,766947,2.3730453342929824e-4
2022-08-03,2021,7,2021-02-20,1,75-79,1,26,43,560299,7.674473807734799e-5
2022-08-03,2021,7,2021-02-20,1,80+,1,18,28,719349,3.892408274703934e-5
2022-08-03,2021,7,2021-02-20,1,Desconocido,1,15,29,NA,NA
2022-08-03,2021,8,2021-02-27,1,0-4,1,3,3,2646026,1.1337757074193526e-6
2022-08-03,2021,8,2021-02-27,1,15-19,1,296,473,2882989,1.640658358391239e-4
2022-08-03,2021,8,2021-02-27,1,20-24,1,5560,11226,2739799,0.004097380866260627
2022-08-03,2021,8,2021-02-27,1,25-29,1,15987,39495,2944222,0.013414409647098622
2022-08-03,2021,8,2021-02-27,1,30-34,1,18526,53474,2745768,0.01947506125790671
2022-08-03,2021,8,2021-02-27,1,35-39,1,16520,48375,2547015,0.01899282100812127
2022-08-03,2021,8,2021-02-27,1,40-44,1,15096,41361,2347974,0.017615612438638587
2022-08-03,2021,8,2021-02-27,1,45-49,1,13844,37600,2131029,0.0176440583398912
2022-08-03,2021,8,2021-02-27,1,50-54,1,11275,29702,1827729,0.016250768029614893
2022-08-03,2021,8,2021-02-27,1,55-59,1,9568,25331,1582478,0.01600717355944285
2022-08-03,2021,8,2021-02-27,1,60-64,1,8453,20463,1293631,0.015818266569060265
2022-08-03,2021,8,2021-02-27,1,65-69,1,7672,13042,1039990,0.012540505197165357
2022-08-03,2021,8,2021-02-27,1,70-74,1,385,567,766947,7.3929489260666e-4
2022-08-03,2021,8,2021-02-27,1,75-79,1,101,144,560299,2.57005634491584e-4
2022-08-03,2021,8,2021-02-27,1,80+,1,50,78,719349,1.0843137336675244e-4
2022-08-03,2021,8,2021-02-27,1,Desconocido,1,30,59,NA,NA
2022-08-03,2021,9,2021-03-06,1,10-14,1,3,5,3024291,1.6532800580367432e-6
2022-08-03,2021,9,2021-03-06,1,10-14,2,1,1,3024291,3.306560116073486e-7
2022-08-03,2021,9,2021-03-06,1,15-19,1,163,636,2882989,2.2060437969066132e-4
2022-08-03,2021,9,2021-03-06,1,15-19,2,25,25,2882989,8.671555805450523e-6
2022-08-03,2021,9,2021-03-06,1,20-24,1,1850,13076,2739799,0.004772612881455902
2022-08-03,2021,9,2021-03-06,1,20-24,2,1302,1302,2739799,4.752173425860802e-4
2022-08-03,2021,9,2021-03-06,1,25-29,1,4896,44391,2944222,0.015077327728683502
2022-08-03,2021,9,2021-03-06,1,25-29,2,9686,9686,2944222,0.0032898334432661666
2022-08-03,2021,9,2021-03-06,1,30-34,1,5576,59050,2745768,0.021505822778909216
2022-08-03,2021,9,2021-03-06,1,30-34,2,17148,17148,2745768,0.006245247231375702
2022-08-03,2021,9,2021-03-06,1,35-39,1,4718,53093,2547015,0.020845185442567082
2022-08-03,2021,9,2021-03-06,1,35-39,2,15766,15766,2547015,0.006189991028714005
2022-08-03,2021,9,2021-03-06,1,40-44,1,4068,45429,2347974,0.019348169954181777
2022-08-03,2021,9,2021-03-06,1,40-44,2,13032,13032,2347974,0.005550316996695875
