fecha_corte,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,rango_edad,dosis,n,n_acum,pob2022,pct_acum
2022-11-04,2021,6,2021-02-13,1,0-19,1,29,29,11566367,2.507269568741853e-6
2022-11-04,2021,6,2021-02-13,1,20-39,1,51484,51484,10976804,0.0046902541031068785
2022-11-04,2021,6,2021-02-13,1,40-59,1,46904,46904,7889210,0.0059453354645141905
2022-11-04,2021,6,2021-02-13,1,60-79,1,7408,7408,3660867,0.0020235643633051952
2022-11-04,2021,6,2021-02-13,1,80+,1,10,10,719349,1.390145812394262e-5
2022-11-04,2021,7,2021-02-20,1,0-19,1,150,179,11566367,1.547590526913075e-5
2022-11-04,2021,7,2021-02-20,1,20-39,1,44591,96075,10976804,0.008752547645015799
2022-11-04,2021,7,2021-02-20,1,40-59,1,37382,84286,7889210,0.010683705973094898
2022-11-04,2021,7,2021-02-20,1,60-79,1,10212,17620,3660867,0.004813067505593621
2022-11-04,2021,7,2021-02-20,1,80+,1,18,28,719349,3.892408274703934e-5
2022-11-04,2021,7,2021-02-20,1,Desconocido,1,1,1,NA,NA
2022-11-04,2021,8,2021-02-27,1,0-19,1,301,480,11566367,4.149963424124446e-5
2022-11-04,2021,8,2021-02-27,1,20-39,1,56882,152957,10976804,0.013934566017576701
2022-11-04,2021,8,2021-02-27,1,40-59,1,50043,134329,7889210,0.017026926650450424
2022-11-04,2021,8,2021-02-27,1,60-79,1,16679,34299,3660867,0.009369092075729602
2022-11-04,2021,8,2021-02-27,1,80+,1,51,79,719349,1.098215191791467e-4
2022-11-04,2021,8,2021-02-27,1,Desconocido,1,2,3,NA,NA
2022-11-04,2021,9,2021-03-06,1,0-19,1,167,647,11566367,5.59380486543441e-5
2022-11-04,2021,9,2021-03-06,1,0-19,2,28,28,11566367,2.420811997405927e-6
2022-11-04,2021,9,2021-03-06,1,20-39,1,17083,170040,10976804,0.015490847791397205
2022-11-04,2021,9,2021-03-06,1,20-39,2,44099,44099,10976804,0.004017471752251384
2022-11-04,2021,9,2021-03-06,1,40-59,1,12772,147101,7889210,0.01864584666905812
2022-11-04,2021,9,2021-03-06,1,40-59,2,42177,42177,7889210,0.0053461626702800405
2022-11-04,2021,9,2021-03-06,1,60-79,1,5275,39574,3660867,0.010810007574708395
2022-11-04,2021,9,2021-03-06,1,60-79,2,6895,6895,3660867,0.0018834336237836557
2022-11-04,2021,9,2021-03-06,1,80+,1,34,113,719349,1.5708647680055162e-4
2022-11-04,2021,9,2021-03-06,1,80+,2,4,4,719349,5.560583249577048e-6
2022-11-04,2021,10,2021-03-13,1,0-19,1,2488,3135,11566367,2.710444861381279e-4
2022-11-04,2021,10,2021-03-13,1,0-19,2,108,136,11566367,1.1758229701685932e-5
2022-11-04,2021,10,2021-03-13,1,20-39,1,25013,195053,10976804,0.017769562069250757
