location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2021,6,2021-02-13,1,1,105848,105848,0.3128521870362363
Peru,2021,7,2021-02-20,1,1,92366,198214,0.5858559765059381
Peru,2021,8,2021-02-27,1,1,123976,322190,0.9522886227534291
Peru,2021,9,2021-03-06,1,1,35334,357524,1.0567244097001676
Peru,2021,9,2021-03-06,1,2,93207,93207,0.27548951134727606
Peru,2021,10,2021-03-13,1,1,74667,432191,1.2774157241268422
Peru,2021,10,2021-03-13,1,2,81604,174811,0.516684336671373
Peru,2021,11,2021-03-20,1,1,134051,566242,1.6736267864463428
Peru,2021,11,2021-03-20,1,2,121520,296331,0.8758578474476129
Peru,2021,12,2021-03-27,1,1,80618,646860,1.911907317155353
Peru,2021,12,2021-03-27,1,2,39286,335617,0.9919744582471138
Peru,2021,13,2021-04-03,1,1,25715,672575,1.9879124753977082
Peru,2021,13,2021-04-03,1,2,66207,401824,1.1876607701954558
Peru,2021,14,2021-04-10,1,1,70019,742594,2.194865816831559
Peru,2021,14,2021-04-10,1,2,103646,505470,1.4940045629696013
Peru,2021,15,2021-04-17,1,1,56794,799388,2.362730368930191
Peru,2021,15,2021-04-17,1,2,112276,617746,1.8258558228108874
Peru,2021,16,2021-04-24,1,1,118373,917761,2.7126023734653772
Peru,2021,16,2021-04-24,1,2,30297,648043,1.915403879558647
Peru,2021,17,2021-05-01,1,1,279376,1197137,3.5383467673645113
Peru,2021,17,2021-05-01,1,2,61630,709673,2.0975620713718435
Peru,2021,18,2021-05-08,1,1,284807,1481944,4.380143427039038
Peru,2021,18,2021-05-08,1,2,51920,761593,2.2510206681419422
Peru,2021,19,2021-05-15,1,1,395956,1877900,5.550460301898459
Peru,2021,19,2021-05-15,1,2,109993,871586,2.5761241241229405
Peru,2021,20,2021-05-22,1,1,453993,2331893,6.892315631702915
Peru,2021,20,2021-05-22,1,2,176213,1047799,3.0969523158149546
Peru,2021,21,2021-05-29,1,1,566978,2898871,8.56811779425139
Peru,2021,21,2021-05-29,1,2,244195,1291994,3.8187131408972776
Peru,2021,22,2021-06-05,1,1,319892,3218763,9.513614278033755
